time(ms),pressure(psi)
1111,14.26
1183,14.26
1255,14.26
1328,14.26
1399,14.26
1472,14.26
1544,14.26
1616,14.27
1689,14.26
1761,14.27
1833,14.26
1905,14.26
1978,14.26
2050,14.26
2122,14.26
2194,14.26
2267,14.26
2339,14.26
2411,14.26
2484,14.26
2555,14.27
2628,14.27
2700,14.26
2772,14.26
2845,14.26
2917,14.26
2990,14.26
3061,14.26
3134,14.26
3206,14.26
3278,14.26
3350,14.26
3423,14.26
3495,14.26
3567,14.26
3640,14.26
3712,14.26
3784,14.26
3856,14.26
3929,14.26
4001,14.27
4073,14.26
4146,14.26
4217,14.26
4290,14.26
4362,14.26
4434,14.26
4506,14.26
4579,14.26
4652,14.26
4723,14.26
4796,14.27
4868,14.26
4940,14.26
5012,14.26
5085,14.27
5157,14.26
5229,14.26
5302,14.26
5373,14.26
5446,14.26
5518,14.26
5591,14.26
5663,14.26
5735,14.26
5808,14.26
5879,14.26
5952,14.26
6024,14.26
6096,14.27
6168,14.26
6241,14.26
6313,14.26
6385,14.26
6458,14.26
6530,14.26
6602,14.26
6674,14.26
6747,14.26
6818,14.26
6891,14.26
6964,14.26
7035,14.26
7108,14.26
7180,14.26
7252,14.27
7324,14.27
7397,14.26
7470,14.26
7541,14.26
7614,14.26
7686,14.26
7758,14.26
7830,14.26
7903,14.26
7974,14.26
8047,14.26
8120,14.26
8192,14.26
8264,14.26
8336,14.27
8409,14.27
8480,14.27
8553,14.27
8626,14.27
8697,14.27
8770,14.24
8842,14.27
8914,14.26
8986,14.26
9059,14.27
9131,14.26
9203,14.27
9276,14.26
9348,14.27
9420,14.68
9492,14.90
9565,15.26
9636,15.27
9709,15.21
9781,14.91
9853,14.62
9926,14.39
9998,14.28
10071,14.27
10142,14.27
10215,14.97
10288,15.51
10359,16.42
10432,17.20
10504,17.72
10576,18.10
10649,18.33
10721,18.43
10793,18.50
10865,18.44
10938,18.38
11011,18.42
11082,18.56
11155,18.68
11227,18.69
11299,18.50
11372,17.04
11444,15.38
11516,14.73
11588,14.49
11661,14.38
11734,14.35
11805,14.34
11878,14.71
11951,15.64
12022,16.62
12095,17.29
12167,17.80
12239,18.20
12312,18.47
12384,18.70
12456,18.89
12528,19.03
12601,19.14
12674,19.26
12745,19.36
12818,19.42
12890,19.45
12962,19.41
13035,19.30
13107,19.17
13179,18.97
13251,18.63
13324,18.24
13396,18.08
13468,18.05
13541,18.06
13613,18.19
13685,18.32
13758,18.43
13830,18.62
13902,18.77
13975,18.88
14047,19.04
14119,19.16
14191,19.24
14264,19.31
14337,19.34
14408,19.30
14481,19.23
14553,19.25
14625,19.30
14698,19.38
14770,19.44
14842,19.48
14914,19.52
14987,19.57
15059,19.62
15131,19.67
15204,19.71
15277,19.76
15348,19.75
15421,19.79
15493,19.81
15565,19.83
15638,19.85
15710,19.86
15782,19.90
15854,19.90
15927,19.92
16000,19.90
16071,19.94
16144,19.93
16216,19.95
16288,19.85
16361,19.63
16433,17.07
16505,15.63
16577,14.82
16650,14.62
16722,14.61
16794,14.63
16867,14.65
16939,14.66
17011,14.65
17084,15.06
17156,15.93
17228,16.66
17301,17.28
17373,17.66
17445,17.88
17517,18.03
17590,18.12
17662,18.33
17734,18.51
17807,18.66
17879,18.70
17951,18.11
18024,16.29
18096,15.00
18168,14.84
18240,14.91
18313,14.79
18385,14.60
18457,14.41
18530,14.32
18601,14.27
18674,14.27
18747,14.27
18819,14.27
18891,14.27
18963,14.27
19036,14.26
19108,14.26
19180,14.26
19253,14.26
19325,14.26
19397,14.26
19470,14.26
19542,14.26
19614,14.26
19687,14.27
19759,14.27
19831,14.26
19903,14.26
19976,14.26
20048,14.26
20120,14.26
20193,14.26
20264,14.26
20337,14.27
20410,14.26
20482,14.26
20554,14.26
20626,14.26
20699,14.26
20771,14.26
20843,14.26
20916,14.26
20988,14.26
21060,14.26
